id,description,usersrated,average,name,sentiment
6387,"Mr. Mouth is a children's action game.  A motorized frog head rotates in the center of an X-shaped board.  Each player uses a spring-loaded hand affixed to each arm of the X to propel plastic housefly pieces into the frog's mouth, which periodically opens and closes.  The first player to flip all ten of his or her flies into the frog's mouth wins. ",218,5.00264,Mr. Mouth,0
41259,"The mummy King Ramses wants to conquer Egypt using his mummies. To stop him, be the first to collect the most magical crystals, evade the mummies and climb the pyramid. ""The board and dice are built in the traditional LEGO way with the game concept constructed and enacted as an extension of the LEGO build experience. Each game can be redesigned and reconstructed, offering endless play possibilities. Games can be adapted, using LEGO elements to enhance and ultimately evolve the game play."" ",590,4.98166,Ramses Pyramid,0
10613,"An Exciting Game Of Pursuit... From The Basement To The Attic! Children begin by arranging the rooms of the house, then advance their playing pieces by rolling the die. Each time a player rolls a 6, he or she draws a chance card, searches the house for the object pictured on the card, then moves ahead - or back! - to that spot. Because the house is rearranged before beginning play, the hidden objects will be in a different place each time! The first player to reach the attic window is the winner. Game Contents: Gameboard,16 Room Cards,20 Chance Cards,4 Playing Pieces,1 Die,Game Rules. ",149,4.63436,Race to the Roof,0
31117,"From the nine fields of the Sudoku Moyo board, each player receives four areas. The remaining field is a common area, which is filled at the beginning of the game. Then each player in turn, sets numbers into his own areas, according to the Sudoku rules: in each field, each line and each column, each number may occur only once. Each player tries to block his opponent from playing his numbers; if a player sets a number, his opponent cannot set the same number in his area in the same line.  The winner is the player who can place the last number piece. Online Play      Yucata (turn-based) ",112,4.64226,Sudoku Moyo,0
4004,"Catch the Golden Snitch, Score and Match.  The Card game tries to recreate the Quidditch matches that appeared in the Harry potter series.  The game contains three decks, the blue Pitch Deck, the red Gryffindor Team Deck and green Slytherin team Deck.  Through the cards, a ball is pitched into play.  To win a ball, the players must play a card with a higher number on it.  There are also some special card that change the game play a little. ",286,4.25325,Harry Potter and the Sorcerer's Stone Quidditch Card Game,0
3728,"The game consists of a clear plastic tube, 30 thin sticks, and 32 marbles. Play begins with the players inserting the sticks through the tube and then pouring the marbles into the hole at the top of the tube. The sticks act as a web that block the marbles at the top of the tube. At this point, the players begin to carefully remove the sticks one by one. The goal is to get the stick out without making any of the marbles fall through. If any do so, the player who made them do so collects them. Once the last marble has fallen, players count their collected marbles, and the player with the fewest wins the game. Reimplemented by:     Toy Story Ker Plunk! ",1753,4.78867,Ker Plunk,0
19578,"All aboard the Hogwarts Express!  Test your knowledge of one of the world's most famous wizards with film clips, puzzlers, and questions based on the Harry Potter movies.  How much do you really know about Quidditch, Transfiguration, or the Dark Arts?  You'll find out as you race your friends around the board. Fun for wizards and muggles!  You don't have to be a 5th year at Hogwarts to do well at Scene It?: Harry Potter.  On-screen challenges test your powers of observation, word play and puzzle-solving skills, so even if you don't know the first thing about how to brew a Polyjuice Potion, you'll still have a great time playing Scene It?: Harry Potter. You may well remember The Monster Book of Monsters, but do you remember how many eyes it has? Don't know?  Don't worry!  You'll see for yourself in the film clip! Think you know how to tackle Boggarts and Basilisk, Dementors and dragons?  Let Scene It?: Harry Potter put your Harry Potter film knowledge to the ultimate test! Includes     1 Game DVD     1 Flextime Game Board     1 Six-sided Numbered Die     1 Eight-sided Category Die     4 Category Reference Cards     4 Metal Tokens     30 House Points Cards     160 Question Cards     1 Instruction Sheet ",331,5.36173,Scene It? Harry Potter,0
13945,"Same old game--new categories:   OOPS - Mistakes and mishaps  WIRED - Technology and anything new  VIEWING - The stuff you watched  TRENDS - Fads, fashions, food and slang  IMPORTANT - The hard news  HANGING - Leisure time fun ",793,5.1958,Trivial Pursuit: 90's Time Capsule Edition,0
352375,"The dinosaurs need your help! The big volcano is about to erupt, and all of the dinosaurs need to get to the island before the lava fills the valley. Work together to move all of the dinosaurs through the valley and onto the island. In this cooperative game, kids ages 4+ will work together to move all the dinosaurs across the board and onto the islands. Players use one of their cards to move a dinosaur onto a matching space on the board. The dinosaurs dont share spaces, so players can get the dinosaurs really moving by playing the same item card twice and jumping over other dinosaurs! Mixed into the item cards are lava cards and when a player draws a lava card the lava moves one space closer to the valley. Players must get all the dinosaurs onto the island before the lava token reaches the bottom of the volcano. The bright and colorful image-based gameplay makes Baby Dinosaur Rescue easy to learn and fun to play! Once players know the rules there is no reading required which makes this a fun way for kids to use basic strategy skills and reduces competition by having the players work together to beat the game. -description from publisher ",221,5.00783,Baby Dinosaur Rescue,0
191077,"This board game has been published together with two other polish games ""Korporacja and ""Kariera Polityczna"" in a series of games illustrated by famous cartoonist Andrzej Mleczko. All three titles are lightweight party games with simple mechanics accompanied by amusing cartoons. In Gierki Maeskie, which roughly translates to ""Marriage Games"" players play in pairs (1-4 couples) and solve multiple challenges presented on cards. There are four types of cards:       Guessing what a partner would do in a given situation (i.e. who knows their partner the best)      Charades      Describing a given word without using a few other specified words      General knowledge questions It is possible to play with multiple couples (up to four) - in such case couples compete with each other. There is also a one couple variant in which partners compete against each other. ",320,5.34086,Gierki Małżeńskie,0
26696,"A game where becoming the wealthiest player by buying, renting, and selling property will win the game. Set in a galaxy far far away.  You can choose to represent the Rebel Alliance, by playing Luke or Leia, Han Solo, Chewbacca, or R2-D2.  You can choose to represent the Galactic Empire by playing Darth Vader, Boba Fett, or a Stormtrooper.  The components of the game include brass imperial coins, and very nice pewter characters.  Instead of houses, star wars vehicles stake your claim on property, including x-wing fighters, TIE fighters, Corellian Freighters and Star Destroyers.  May the Force Be With You!!! Each board is individually numbered and dated via sticker, making each copy unique! ",1184,5.23186,Monopoly: Star Wars Limited Collector's Edition,0
12205,"Does a sofa fit in a shopping cart? It all depends on how you size it up in this game of creative thinking and outrageous scenarios. Try to win a set of cards by fitting smaller things into bigger things - a baby goes in a bathtub, which is in a house, in Hollywood. Play the fourth word card to claim a set, unless one of your opponents can trump with a larger word. The player with the most sets at the end is the winner. ",1585,4.65857,In a Pickle,0
8784,"Includes 12 boards and a large number of poker-style chips (no cards, however). Paraphrased from the box: A game that is a combination of the two games known as Poker and Keno (or Lotto), with features that make it more interesting and exciting than either. Each player, except the dealer, is given a board and some counters. If there are no more players than boards, the dealer may also play if desired. The dealer or ""caller"" is furnished with an ordinary deck of 52 playing cards, shuffles them, and turns over the top one calling it out. Each player with that space on their board covers it with a counter. The dealer continues turning over cards until someone wins by having a complete row of five scored, either horizontally or vertically. The player who wins becomes the next dealer. Several scoring methods are suggested, such as collecting all counters lying on other boards. Or, continue playing until everyone has a line of five, then scoring via the rank of poker hands - the boards are arranged so that each line vertically and horizontally represents every different poker hand, ranging from a ""straight flush"" to ""a pair"". ",224,4.67652,Po-Ke-No,0
8996,"Pictionary Junior is a simplified version of the parent game, designed for a younger audience.  Players divide into two teams, each with one Picturist and the rest of the players as Guessers. If there are only 3 players, one can act as full-time Picturist. The game consists of rolling a die to circle a linear track on the board.  Topics to draw come from cards.  An hourglass marks the time limit for guessing.  The cards contain simpler topics than the parent game, more suitable for children.  Guessing correctly earns the next roll. The game is advertised for Ages 7 - 12. (Other editions say ""Now for ages 8-14."") ",276,5.39005,Pictionary Junior,0
348250,"Players can enjoy island life in the world of Animal Crossing New Horizons.  Instead of buying properties or paying rent, players collect resources (Bugs, Fish, Fossils, and Fruit).  You can sell these resources for bells to buy decorations (which earn you Nook Miles) or complete Nook Miles cards to earn Nook Miles.  Player with the most Nook Miles at the end of the game wins. ",240,5.29299,Monopoly: Animal Crossing – New Horizons,0
7860,"In The Simpsons TCG each player plays a deck based on one of five characters from the Television show (Bart, Homer, Lisa, Mr. Burns or Krusty). The aim is to achieve 7 points by participating in the scene cards that are played. Cards played on a scene count as ""completing"" or ""trashing"" depending on whether they match the traits of the scene. Each playable character has unique action cards. Fixed-rarity character decks with matching action, character, and scene cards were released for Bart, Homer, Lisa, and Mr. Burns.  Krusty was found in booster packs only, though there were more of his cards in boosters than the other four characters.  Boosters also included foil versions of cards in the set.  The game didn't find a widespread audience, and Wizards of the Coast dropped support for it after the initial print run. ",117,5.0594,Simpsons Trading Card Game,0
12746,"The game of Dreidel is a descendant of Teetotum and a sister game to Put & Take Game. It is especially played by Jewish families, most commonly during the Hanukkah Festival. A 'Dreidel' is a top that is spun to land on one of its four sides. Each side has a letter - initials for the words ""Nes Gadol Hayah Sham"" (a great miracle happened there) outside of the Land of Israel (Eretz Yisrael) and in the Land of Israel (where the modern State now is) ""Nes Gadol Hayah Po"". Players put items (typically candy or cookies) into a pot. Each player spins the Dreidel to see what happens... N(eis) - The player gets nothing from the pot. G(adol) - The player gets everything in the pot. H(ayah) - The player gets half the pot. P(o) / S(ham) - The player must add one of something to the pot. ",127,3.97244,Dreidel,0
15804,"For when you're lookin' for a fight! While mankind has fought with itself, the forces of evil have gathered and prepared for one final, apocalyptic assault. Each group has fine tuned their forces and stands ready to fight for ultimate control of the earth. You are the leader of one of these groups, and you alone will determine who has control of the earth for now... Hidden Conflict is an innovative, tile-based, skirmish game that allows players to fight for global domination as either the forces of good or one of the many evil groups vying for control. Players build an army from the beautifully illustrated tiles and face off against their foes. The game plays equally well with two to six players. This large box contains 240 ""Army"" tiles, complete rules and 6 player ""cheat"" cards. ",128,4.29766,Hidden Conflict,0
360747,"Skate Legend is a fast-paced and addictive card game for 2-5 players, in which you play skateboarders racing through the city streets at full speed. The goal? Earn the most points by performing as many sequences of figures as spectacular as they are dangerous. So, ready to hit the ramp? ",150,5.34413,Skate Legend,0
32431,"From the English rules: Altamira - Hunters of the stone age Altamira in the year 11,765 B.C. - You live together with other hunters in a cave. Sitting at the campfire, every evening you plan where you want to go stalking the next day to bring home food, furs, and material for new weapons. On the hunt you meet not only saber-toothed tigers, bison and cave bears, but mostly also hunters of neighboring tribes you have to stand up to. Whoever masters this best and captures the most prey will be honored as the most successful hunter. You send your hunters to hunting grounds where they make weapons; with adequate weapons, they can kill animals on the hunt that follows. This gives you prey points. The player with the most prey points wins the game. ",143,5.38542,Altamira,0
5430,"Players (or teams) advance their pawns along three separate tracks by correctly answers TriBond riddles, in which they attempt to determine the common link is between three seemingly unassociated objects. The first player to move all three pawns into the Home space is the winner. This Best of game contains the best TriBond riddles from the first ten years of publication of TriBond, plus 500 new riddles. ",167,5.41976,Best of TriBond,0
2314,"A small-box children's game with interlocking gameboard pieces. Players race to stay ahead of each other, and if caught are sent ""off to the Tower"" where only a roll of 6 will free them. ",101,5.16436,Off to the Tower,0
2738,"OVERVIEW: The Gnumies & their friends from the planet Gnum love big Parties! They like to see Borsis, Dancemites, Boggelors or Divalettis as guests at their parties. But no one wants the dreaded Wullawakis at his party. The Gnummies & their friends are shown on the Gnumies card, & the guests on the party cards. There are 4 of each party card valued from 1 to 10, & one of each party card valued from 11 to 15. The players try to win the most party cards, worth the most points, by playing their Gnumie cards. If a player has 2 or more party cards of the same value, their value multiplies, (2 of kind gets you 20 points, 3 of a kind 50 points and 4 of a kind 100 points). These of course can only be done with the cards that are valued from 1 to 10. A player who wins a Wullawaki, loses points. Having 1 Wullawaki will force you to lose the lowest valued party card that you have. Having 2 Wullawakis will force you to lose the highest valued party card in his party room. With 3 or more Wullawakis, the player will discard as many party cards as he has Wullawakis, (players choice in this case). Of course, the player with the most points at the end of the game is the WINNER!!! GAME PLAY: 1) Any player turns over the top-most card in the party supply stack.  2) Now each player selects a Gnumie card from his hand (Cards have a value from 10 to 100), and places it face-down in front of him (in his Party Room!). When all players have placed their bids face-down on the table, all players then reveal their bids.  3) The player who played the highest valued bid in his party room wins the face-up party card.  4) If 2 or more players tie with the highest bid, the player who has the the most Luckynits (small figures at the bottom of each Gnumie card), wins the party card.  5) The player who wins the party card must discard the Gnumie card that he won with that bid.  6) The other players take back their losing bid party cards. The round is now over and we repeat with Step 1 again. 7) There is a little twist in the bidding when the Wullawaki card (bad card) comes out. The player with the highest Gnumie card still wins the Wullawaki card, but gets to take back his Gnumie card into his hand and the other players lose their Gnumie cards! 8) The is also a ""WILD CARD"" in this game. It is called the ""COPICASTOR"". It is a card used to make at least a pair of party cards. The Copicastor takes on the form of the lowest valued party card that the player has in his party room. This insures that a player will have at least a pair of cards and also make the low valued cards somewhat valuable to have, since some people may avoid making a high bid on a low value card. But, if you get this Copicastor it makes that low valued card at least worth 20 points (for a pair). 9) The game ends when 1 player is left with his Gnumie cards. Since, he can't bid against anybody else, he takes the top most party cards as he has Gnumie cards in his hand. 10) Scoring is based on attaining pairs, three-of-a-kind & 4-of-a-kind of the numbered party cards that the players bid on (check the Overview paragraph above). If no pairs are attained, the value of that card is scored. So, if you have two 5-point cards, you score 20 Points for having a pair. But, if you have only one 5-point card you score 5 points! 10) The player with the most points at the end of the game wins!!! Ages 8 and up Re-implements:     Asterix: Das Kartenspiel ",222,5.34324,The Gnumies,0
2841,"User review: The game is scored exactly as the sport: A player must win a set by a two game margin. The first player (or team) to win six sets claims victory. The game consists of two separate decks of cards: the Serve Deck and the Play Deck. Each player is dealt ten cards (or seven, when playing doubles) from the Play Deck. Players must use these cards wisely because they can not replenish their hands until the winner of the set is determined. The serving player reveals the top Serve Deck card to get the game started. An Ace card is an automatic point for the server. Revealing consecutive Fault Cards gives an automatic point to the receiving player. Revealing an In Card means the receiving player may respond with a play from ones hand. When the game gets going each player may respond with the proper card from ones hand. Failure to or choosing not to respond results in a point for the opponent. Components: Play Deck: 45 normal shots (5 cards for each of 9 possible shots) 2 Out 4 Smash 4 Kill 1 Ad card (not needed to play - same back as other cards but lists other Parker Bros. games to try) 56 cards total Serve Deck: 17 In 3 Ace 7 Fault 27 cards total 1 Rules sheet 1 Serve marker 1 Ball marker Tennis Court Playing Area board 1 advertisement card with Play deck backing ",128,4.88203,Tennis,0
34745,"COMPONENTS 20 Ship tiles (4 aircraft carriers, 4 submarines, 4 destroyers, 4 battleships, 4 patrol boats) 8 attack dice Battleship Express comes with two different games: The Captains Game and The Admirals Game. The Captain's Game ignore the ships powers on the cards. Each player receives 5 ship tiles, one of each ship: Battleship, Destroyer, Aircraft Carrier, Submarine, Patrol Boat. Each player places them in front of them in any order to make up their fleet. On a player's turn they choose one of the ships in their Fleet to attack with and move it to the front of their line. Next the player chooses a ship of an opposing player to attack. The attacking player can only choose one of the first 2 ships in the line to attack. The attacking ship tile shows how many dice to roll. Roll that number of dice and check for hits. Each of the 8 dice is the same. 5 of the sides match the colors of the 5 ships, and the sixth side is a burst or wild. IF the player does not sink it, the dice are passed to the next player. Set aside any hits and then re-roll based on the attacking ships powers. Once the number of hits equals or exceeds the defense number on the ship that's defending, it is sunk removed from play and the attacking player gets a point. The first player to an agreed number of set points wins. Heres a breakdown of the individual ship powers:      Battleship: Declare target. Roll all 8 dice a total of 4 times. Bursts do not count as hits.      Destroyer: Declare target. Roll 6 dice a total of 2 times. Bursts count as 2 hits.      Aircraft Carrier: Roll 6 dice THEN declare your target, then roll 1 more time. Bursts count as 1 hit. The Aircraft Carrier can also attack from anywhere in your line, so you dont have to move it to the front where it is vulnerable.      Submarine: Roll 3 dice a total of one time. A single Burst will sink whatever you are attacking. Submarines can attack any ship at any place in a Fleet.      Patrol Boat: Roll 5 dice a total of 3 times. Bursts count as 1 hit. Part of the Hasbro Express Line. ",323,5.47988,Battleship Express,0
3482,"A roll-and-move game, close to a party game (Avalon Hill!), where players try to go back in the past to find out who they were before reincarnation... ",105,4.43171,Past Lives,0
42968,"Welcome to the Pressure Matrix  a futuristic game show where the contestants fight for their very lives. Trapped into a four walled arena, each runner moves to score the most points, while simultaneously pinning opponents into the corners of the Pressure Matrix, where they cannot move. As the game goes on, the pressure mounts as the runners move faster and faster, with fewer and fewer options. The game ends immediately when any runner is ""frozen"" (out of control markers at the start of the runner's turn). Pressure Matrix is a fast-paced, clever strategy game for 2 to 5 players. With multiple levels of play, random tile placement, and sinister opponents, there is no end to the Pressure Matrix. ",132,4.5076,Pressure Matrix,0
4745,"The rampaging panzers of Hitler's 3rd Reich steamroll virtually unopposed over Europe until they collide with a nation too proud to capitulate. In this first starter set, The Western European Theater, you and your friends can choose sides as the oldest western empire clashes with the newest expansionist tyrant. Can the Luftwaffe overwhelm the RAF? Can the allies hold the line in France? Who will win the Battle for the North Atlantic? You decide as armies from both sides are formed by your decisions and battles are executed at your command. The future of the civilized world hangs in the balance! Battlecards is a card game in which you and your opponent(s) build up forces and conduct battles in many of the great conflicts in history. This particular starter set deals with the Western European Theater during World War II. The game consists of a Conflict deck of 50 cards, 47 Arsenal cards for the British forces, and 47 Arsenal cards for the German forces. Based upon the draw of Conflict cards, players may build forces, learn about their opponent, gain a secret advantage, or enter into a battle. The objective is to be the player at the end of the game with the most victory points, or to win the battle for your opponents homeland. In addition, 20-card expansion packs are available to improve the selection and capabilities of Arsenal cards and Conflict cards for this set. Additionally, this set can be combined with the other World War II Starter Sets so you and your friends may play the entire war as you please. Taken from the game box and web page. ",161,5.46646,Battlecards: World Conflict – Western European Campaign: Starter Set,0
93522,"Tetris the Card Game is based on the popular video game Tetris. In this game, the players' goal is to clear 10 lines to win the game.  Players keep a grid of 10 cards face up in front of them, flipping them as lines are cleared to keep track of their score.  Each player may hold two cards at a time in their hand.  Cards may feature blocks known as Tetriminos which can be used to clear lines or special action cards that can hinder other players. A puzzle will be displayed on the top of the draw pile.  To clear a line, players must use the Tetrimino cards in their hands.  If the Tetrimino on a card fits in this puzzle so that it completes a line (or lines) five squares across without any gaps, it can be played to clear a line (or lines).  In order to fulfill this goal, Tetriminos may be rotated.  For each line cleared, a card is flipped in that player's matrix.  If clearing a line is impossible with the player's hand or if no action cards may be played, then the player must discard a card of their choice and draw the top card of the draw pile.  The next player takes their turn and play proceeds until one player has flipped all ten cards in their matrix. ",147,4.50497,Tetris: The Card Game,0
131389,"There has been a murder, and the stars of ABC's Castle are on the case! In Castle: The Detective Card Game, an easy-to-play murder mystery card game, 25 players will play as one of six major characters from the show  each with a unique ability to use during play  as they collect and use investigation cards to narrow down the suspects until they find the guilty party! Special event cards change the dynamics of the investigation as a new suspect could enter the fray, or you could get a new set of investigation cards to aid you. Castle: The Detective Card Game includes two ways to play. You can play a single game, which simulates a single episode from the show, or you can play a whole season. If you play a single episode, whoever finds the killer wins the game. If you play a season match, you play multiple games until one of the players has won two games. ",107,5.40021,Castle: The Detective Card Game,0
166081,"The death-dodging party game. When the shit hits the fan you need a plan. Escape from seriously bad situations with the help of seriously useless objects. Ever wondered what youd do if you woke up buried alive in an airtight coffin? Or you discover you had an alien parasite in your stomach? Well, we have. And weve made it into a delightfully dark party game. Bucket of Doom is a card based game in a hot pink toxic bucket. Players take it in turns to share their daring escape from impending doom using one of their personal object cards to escape. Players vote for their favourite story, best plan wins. ",439,4.93833,Bucket of Doom,0
27389,"Smart Ass the board game is the ultimate fun trivia game for 2 to 12 players, where everybody plays every turn, the game doesn't labor on for hours, and even if you are a ""Dumb Ass"", you can win! Smart Ass is an all play game. With every question asked, every player can yell out the answer at any time and as soon as they think they know the answer. There are four question categories: Who am I? Where am I? What am I? and Hard Ass! The 500 questions are formulated into lots of clues. The clues get easy as the question is being read out, but don't wait too long to answer, as the first person to yell out the right answer, wins the round and moves closer to the Smart Ass. If you yell out the wrong answer, then you are out of that round and have to wait 'till the next question is asked. Beware of the ""Dumb Ass"" and ""Kick Ass"" squares, as penalty awaits! The first person to land on the donkey's butt is declared the ""Smart Ass"". Smart Ass was created by Rob Elliott, the long time host of Australian Channel Seven's ""Wheel of Fortune"". So come and enjoy the real Aussie flavor of this inclusive and fun, but still competitive game ",1567,5.45835,Smart Ass,0
15111,"Description from the box For high-rolling, high-stakes fun, you can't beat the winning combination of Yahtzee and Texas Hold'Em poker! The trick is to make the best 5-dice ""hand"" from your two personal pocket dice and 5 up-for-grabs dice. Each roll could shift your strategy: will two pair become three of a kind or a full house? Will you go for broke with an all-in-bet? At showdown time, the player with the best poker hand wins the chips. The ultimate hand is a Yahtzee flush: 5-of-a-kind in the same color ""suit""! Gameplay Each player blind draws two dice from the bag and places them in his cup and shakes (his secret ""pocket"" dice), and they ante and bet based on their pocket dice. Then three more ""community"" dice are drawn and rolled (the ""flop""), then a fourth (the ""turn""), and a fifth (the ""river""), with two betting rounds (of check, bet, call, call & raise, fold, and all-in options) in between each draw. Dice combinations are similar to their poker counterparts and can give players; two pair, three of a kind, full house, straight, four of a kind, flush, Yahtzee (five dice of the same number in different suits), straight flush, and the ""Yahtzee Flush"" - five dice of the same number and suit (color), that automatically wins a player the game. ",297,5.20653,Yahtzee: Texas Hold'em,0
399,"from User Review: Tom Clancy, the famous author of military-style thrillers, long been a wargaming fan. Now, he has entered into the wargame market with Politika, produced by a company of his own, Red Storm Entertainment. The premise of the game is that Yeltsin has died and there is now a power struggle amongst various factions within Russia to take control of the vast country. The game is billed as 'The Strategy Game of political intrigue in modern day Russia'. Based on the videogame Tom Clancy's Politika. ",221,4.24783,Tom Clancy's Politika,0
2446,"In this game, each player manoeuvres a fleet of helicopters and a fleet of jeeps (equipped with AA guns), trying to gain air or ground superiority.  That is to say, you win by wiping out all of your opponent's choppers or all of his jeeps.    A d3 indicates how many pieces you will move, and a d6 how far each one will move.  Choppers move on the elevated ""air"" board, whilst jeeps stick to the ground.  Terrain obstacles complicate matters for the jeeps at the players' ""border"".  Choppers take choppers out by jumping over them ( la checkers); they can also take jeeps out by bombing them (stopping right above them).  Jeeps take jeeps out by landing on them; they can also take choppers out using their AA guns (stopping right below them). ",235,5.33047,Chopper Strike,0
86073,"It should be easy to name 3 breeds of dogs - but can you do it under the pressure of 5 seconds twisting down, and with the other players staring at you, waiting for you to get flustered? Time's not on your side, so just say what comes to mind and risk ridiculous answers slipping out as time twirls down on the unique twisted timer! It's all in good fun with this fast-paced game where you have to ""Just Spit It Out!"" --description from publisher ",2706,5.47566,5 Second Rule,0
